θnames,θindices,hullmethod,coverage_median,coverage_mean,coverage_lb,coverage_ub,num_boundary_points,method_key,num_points
"[:C01, :σ]","[5, 7]",MPPHullMethod(),0.9814196962724344,0.9769524797765008,0.9539473684210527,0.9900510204081633,20,1,20
"[:C02, :σ]","[6, 7]",MPPHullMethod(),0.980171358629131,0.9786140052581747,0.9632432957636999,0.9928797533401851,20,1,20
"[:λ1, :λ2]","[1, 2]",ConvexHullMethod(),0.9810422282120395,0.9811229464477119,0.9703872053872055,1.0,20,1,20
"[:λ1, :δ]","[1, 3]",ConvexHullMethod(),0.9859175377468061,0.9829981524919909,0.9571908602150538,1.0,20,1,20
"[:λ1, :K]","[1, 4]",ConvexHullMethod(),0.9741924741924741,0.9753163238138145,0.9465695343817453,1.0,20,1,20
"[:λ1, :C01]","[1, 5]",ConvexHullMethod(),0.981612685560054,0.9810541241074542,0.9572307180851064,1.0,20,1,20
"[:λ1, :C02]","[1, 6]",ConvexHullMethod(),0.9906962785114046,0.9898321582655921,0.9695454545454546,1.0,20,1,20
"[:λ1, :σ]","[1, 7]",ConvexHullMethod(),0.9766937669376694,0.9777063314143654,0.9494238983812949,0.9950261780104712,20,1,20
"[:λ2, :δ]","[2, 3]",ConvexHullMethod(),0.9889897156684815,0.9882612395894066,0.9740591532379141,1.0,20,1,20
"[:λ2, :K]","[2, 4]",ConvexHullMethod(),0.985504971219257,0.9834958151703317,0.9627182598401894,1.0,20,1,20
"[:λ2, :C01]","[2, 5]",ConvexHullMethod(),0.9835668103448276,0.9827883154283057,0.9692133815551537,0.9941651148355058,20,1,20
"[:λ2, :C02]","[2, 6]",ConvexHullMethod(),0.9888097024256064,0.98838985241768,0.9689835164835164,1.0,20,1,20
"[:λ2, :σ]","[2, 7]",ConvexHullMethod(),0.9843863033518205,0.978702618922371,0.9553387533875339,0.9921957671957672,20,1,20
"[:δ, :K]","[3, 4]",ConvexHullMethod(),0.982238570677877,0.9791037111265668,0.9517076923076923,1.0,20,1,20
"[:δ, :C01]","[3, 5]",ConvexHullMethod(),0.9862313139260425,0.9836200917470057,0.9666901054746359,1.0,20,1,20
"[:δ, :C02]","[3, 6]",ConvexHullMethod(),0.983050038197097,0.983451139277166,0.9689166193987521,1.0,20,1,20
